X,Y,status,ts
-85.075722,35.083956,Open,2020-04-01T15:00:00Z
-86.46869,30.3865,Open,2020-04-01T15:00:00Z
-86.805409,33.414674,Closed,2020-04-01T15:00:00Z
-89.35015,31.359675,Closed,2020-04-01T15:00:00Z
-80.85968626,35.77145604,Open,2020-04-01T15:00:00Z
-83.220223,30.681215,Open,2020-04-01T15:00:00Z
-86.506983,30.39466,Closed,2020-04-01T15:00:00Z
-84.42959,33.65901,Open,2020-04-01T15:00:00Z
-83.985838,33.946346,Open,2020-04-01T15:00:00Z
-90.789428,35.031525,Open,2020-04-01T15:00:00Z
-90.327052,32.32894,Open,2020-04-01T15:00:00Z
-91.138276,38.823561,Closed,2020-04-01T15:00:00Z
-83.32647,30.84267,Open,2020-04-01T15:00:00Z
-89.35544,31.323919,Open,2020-04-01T15:00:00Z
-81.031492,34.744143,Open,2020-04-01T15:00:00Z
-80.87506,32.63235,Open,2020-04-01T15:00:00Z
-90.955634,30.457155,Open,2020-04-01T15:00:00Z
-84.530254,34.086389,Closed,2020-04-01T15:00:00Z
-84.31941,37.736096,Closed,2020-04-01T15:00:00Z
-91.198186,34.905383,Closed,2020-04-01T15:00:00Z
-84.021074,33.857011,Closed,2020-04-01T15:00:00Z
-84.29134,33.28088,Open,2020-04-01T15:00:00Z
-82.188023,29.148493,Open,2020-04-01T15:00:00Z
-86.121641,30.695845,Open,2020-04-01T15:00:00Z
-91.75858,32.456188,Open,2020-04-01T15:00:00Z
-84.46987837,33.92406746,Open,2020-04-01T15:00:00Z
-91.692656,35.250429,Closed,2020-04-01T15:00:00Z
-90.669758,35.809383,Open,2020-04-01T15:00:00Z
-82.00538,33.399077,Open,2020-04-01T15:00:00Z
-81.74090361,26.21056749,Open,2020-04-01T15:00:00Z
-84.128762,33.949688,Open,2020-04-01T15:00:00Z
-80.851167,35.305943,Open,2020-04-01T15:00:00Z
-86.758352,36.235758,Open,2020-04-01T15:00:00Z
-80.68817,34.192405,Open,2020-04-01T15:00:00Z
-84.08611736,36.16479298,Open,2020-04-01T15:00:00Z
-93.31035,37.24853,Closed,2020-04-01T15:00:00Z
-81.31335,35.711134,Open,2020-04-01T15:00:00Z
-80.152522,33.036743,Open,2020-04-01T15:00:00Z
-85.18773,35.054091,Open,2020-04-01T15:00:00Z
